tailNumber;operator;aircraftType;manufactureDate;serialNumber
RA-73187;AKR;737-800;2014-10-22;41201
RA-73194;AKR;A320 CEO;2014-03-04;6017
RA-73195;AKR;A320 CEO;2014-03-12;6022
RA-73215;AKR;A319;2007-03-12;3065
RA-73216;AKR;A319;2009-08-05;3998
RA-73217;AKR;A320 CEO;2008-09-11;3640
RA-73220;AKR;A319;2003-11-21;2093
RA-73226;PBD;737-800;2018-09-01;64863
RA-73231;PBD;737-800;2019-03-23;64868
RA-73232;PBD;737-800;2019-03-24;64869
RA-73234;PBD;737-800;2017-12-09;41244
RA-73243;PBD;737-800;2016-11-11;41228
RA-73248;PBD;737-800;2017-07-14;41238
RA-73261;SYL;737-800;2002-05-29;29889
RA-73262;SYL;737-800;2007-02-08;30712
RA-73264;DRU;737-800;2005-05-02;32659
RA-73265;DRU;737-800;2005-04-12;32658
RA-73266;DRU;737-800;2001-06-08;32576
RA-73267;DRU;737-700;2009-10-20;37088
RA-73268;DRU;737-700;2010-02-05;37421
RA-73269;NWS;737-800;2005-04-15;30040
RA-73270;NWS;A330;2004-01-01;635
RA-73271;NWS;A321 CEO;2008-06-19;3575
RA-73273;NWS;A321 CEO;2000-04-26;1219
RA-73283;AKR;747-400;1999-12-07;27100
RA-73284;AKR;747-400;1998-07-12;26360
RA-73285;AKR;747-400;1999-02-16;26362
RA-73288;AKR;747-400;1999-10-28;27650
RA-73299;PBD;737-800;2014-04-30;41992
RA-73302;PBD;737-800;2017-10-28;61788
RA-73303;PBD;737-800;2017-10-23;61789
RA-73307;PBD;737-800;2017-11-18;61801
RA-73308;PBD;737-800;2018-02-01;63405
RA-73311;NWS;737-800;2011-01-01;40309
RA-73312;NWS;737-800;2011-01-01;40311
RA-73313;NWS;737-800;2007-01-01;35700
RA-73314;NWS;737-800;2009-06-22;40233
RA-73315;NWS;737-800;2009-11-17;40236
RA-73317;NWS;737-800;2010-06-12;40874
RA-73318;NWS;737-800;2010-03-21;40872
RA-73319;NWS;737-800;2016-10-10;42059
RA-73322;NWS;A321 CEO;2017-01-01;7694
RA-73323;NWS;A321 CEO;2018-01-01;8085
RA-73324;NWS;A321 CEO;2007-02-08;3034
RA-73325;NWS;A321 CEO;2007-05-04;3120
RA-73326;NWS;A321 CEO;2017-05-08;7674
RA-73328;NWS;A330;2008-12-10;979
RA-73340;NWS;777-300;2002-10-02;28520
RA-73341;NWS;777-300;2004-02-29;28533
RA-73342;NWS;777-300;2005-06-29;32639
RA-73477;LUK;737-700;2006-01-25;34865
RA-73684;RSY;A330;2011-01-01;1265
RA-73685;RSY;A330;2009-06-02;1021
RA-73686;RSY;A330;2008-11-05;965
RA-73687;RSY;A330;1999-06-23;283
RA-73688;RSY;A330;2006-03-21;739
RA-73847;NWS;777-300;2005-08-16;32640
RA-73848;NWS;A330;2012-01-01;1351
RA-73851;RSY;A330;2002-01-01;456
RA-73XXX;AFL;A320 CEO;;
RA-89014;AKR;RRJ-95;2013-01-01;95025
RA-89024;AKR;RRJ-95;2014-01-24;95044
RA-89068;LLM;RRJ-95;2016-01-01;95109
RA-89069;LLM;RRJ-95;2016-01-01;95112
RA-89070;LLM;RRJ-95;2016-01-01;95113
RA-89071;LLM;RRJ-95;2016-01-01;95114
RA-89072;LLM;RRJ-95;2016-01-01;95115
RA-89073;LLM;RRJ-95;2016-01-01;95116
RA-89079;AZO;RRJ-95;2017-01-01;95128
RA-89080;AZO;RRJ-95;2017-01-01;95129
RA-89081;LLM;RRJ-95;2017-01-01;95131
RA-89082;LLM;RRJ-95;2017-01-01;95134
RA-89085;AZO;RRJ-95;2017-01-01;95123
RA-89086;LLM;RRJ-95;2017-06-01;95125
RA-89087;LLM;RRJ-95;2017-01-01;95127
RA-89088;LLM;RRJ-95;2017-01-01;95130
RA-89089;LLM;RRJ-95;2017-01-01;95136
RA-89090;LLM;RRJ-95;2017-01-01;95140
RA-89091;LLM;RRJ-95;2017-01-01;95143
RA-89092;LLM;RRJ-95;2017-01-01;95149
RA-89117;SSF;RRJ-95;2018-01-01;95159
RA-89118;SSF;RRJ-95;2018-01-01;95172
RA-89119;SSF;RRJ-95;2017-01-01;95154
RA-89120;AZO;RRJ-95;2018-01-01;95174
RA-89121;AZO;RRJ-95;2018-01-01;95175
RA-89135;SSF;RRJ-95;2019-01-01;95181
RA-89136;AZO;RRJ-95;2019-01-01;95180
RA-89139;AZO;RRJ-95;2020-01-01;95199
RA-89149;AZO;RRJ-95;2018-01-01;95179
RA-89179;AZO;RRJ-95;2019-01-01;95182
RA-89180;AZO;RRJ-95;2019-01-01;95184
VP-BUH;NWS;A330;2012-01-01;1351
VP-BUJ;NWS;A330;1999-08-04;28488
VP-BUM;NWS;A330;2012-01-01;1361
